year,mo,dy,num,spec,set,area,mesh,fl,tl,wgt,sex,gonad,rings,mc,
2003,4,7,1,shd,,,0,363,400,1.04,M,,3,4,
2003,4,7,2,shd,,,0,360,400,1.02,M,,3,4,
2003,4,8,1,shd,,,0,400,441,1.34,M,,3,4,
2003,4,8,2,shd,,,0,280,308,0.53,F,41.3,2,4,
2003,4,10,1,shd,,,0,258,280,0.39,M,,1,4,
2003,4,10,2,shd,,,0,308,339,0.79,F,100.4,2,4,
2003,4,10,3,shd,,,0,317,360,0.84,F,56,3,4,
2003,6,16,1,shd,pp,3A,2,334,,0.88,F,1.9,5,2,
2003,6,19,1,shd,,,0,335,370,0.85,F,4,4,1,
2003,7,16,1,shd,pp,1D,3,169,,0.12,U,,1,2,
2003,8,18,1,shd,tl,1C,0,206,,0.24,U,,1,2,
2003,8,18,2,shd,tl,1B,0,432,,2.11,F,9.9,4,2,
2003,8,27,1,shd,pl,2D,6,385,,1.07,F,,3,2,
2003,8,27,2,shd,pl,2D,6,437,,1.88,F,,4,3,
2003,9,16,1,shd,pl,1C,4,190,210,0.19,U,,1,3,
2003,9,25,1,shd,tl,,0,242,268,0.37,U,,1,3,
2003,10,6,1,shd,tl,3C,0,398,,1.61,F,6.5,4,2,
2003,10,6,2,shd,tl,3C,0,399,,1.57,F,3.4,4,3,
2003,10,6,3,shd,tl,3C,0,370,,1.18,F,6.5,3,3,
2003,10,16,1,shd,rh,3A,4,335,,0.67,M,,4,3,
2003,10,17,1,shd,tl,2E,0,342,381,0.89,F,6,3,3,
2003,10,20,1,shd,ct,1E,0,212,,0.24,U,,1,3,
2003,10,20,2,shd,ct,1E,0,223,,0.28,U,,1,3,
2003,10,20,3,shd,ct,1E,0,212,,0.23,U,,1,3,
2003,10,20,4,shd,ct,1E,0,254,,0.4,F,,1,3,
2003,10,20,5,shd,ct,1E,0,254,,0.41,F,,1,3,
2003,10,22,1,shd,pl,3D,3.5,323,361,0.79,M,,3,3,
2003,10,22,2,shd,pl,3D,3.5,323,359,0.81,F,4.7,3,3,
2003,10,30,1,shd,tl,1B,0,269,,0.46,F,1.1,1,3,
2003,11,6,1,shd,tl,2E,0,324,,0.79,F,5.2,2,3,
2003,11,6,2,shd,tl,2E,0,340,,0.96,M,,4,3,
2003,11,10,1,shd,,2B,4.5,392,,1.46,F,12.3,4,3,
2003,11,12,1,shd,tl,3C,0,412,,1.57,F,12.9,4,4,
2003,11,12,2,shd,tl,3C,0,347,,0.96,M,,3,4,
2003,11,13,1,shd,pp,1D,6,465,,2.59,F,14.9,4,4,
2003,12,1,1,shd,tl,3C,0,117,,0.04,U,,0,4,
2003,12,1,2,shd,tl,3C,0,410,,1.64,M,,3,4,
2004,2,5,1,shd,pp,3D,6,363,,1.24,M,,4,4,
2004,2,5,2,shd,pp,3D,6,439,,1.97,M,,4,4,
2004,2,5,3,shd,pp,3D,5.5,305,,0.73,F,7.3,3,1,
2004,2,5,4,shd,pp,3D,4.5,297,,0.7,F,3.3,2,4,
2004,2,18,1,shd,pl,1B,5,229,,0.31,U,,1,4,
2004,2,18,2,shd,pl,1B,6,250,,0.42,U,,1,4,
2004,2,27,1,shd,pl,3C,4.5,239,259,0.32,U,,1,4,
2004,2,27,2,shd,pl,3C,5,240,,0.33,U,,1,4,
2004,2,27,3,shd,pl,3C,5,304,334,0.67,U,,1,4,
2004,2,27,4,shd,pl,3C,5,359,395,1.15,M,,4,4,
2004,2,27,5,shd,pl,3C,5,269,296,0.46,M,,1,4,
2004,2,27,6,shd,pl,3C,5,269,299,0.47,M,,1,4,
2004,2,27,7,shd,pl,3C,5,260,290,0.44,F,1.9,1,4,
2004,2,27,9,shd,pl,3C,5.5,416,460,1.73,M,,4,4,
2004,2,27,8,shd,pl,3C,5,275,299,0.5,F,2.3,1,4,
2004,2,27,10,shd,pl,3C,5.5,357,394,1.05,M,,2,4,
2004,2,27,11,shd,pl,3C,5.5,337,371,0.96,F,9.9,4,4,
2004,2,27,12,shd,pl,3C,5.5,315,350,0.72,F,5.8,1,4,
2004,2,27,13,shd,pl,3C,5.5,308,340,0.68,M,,3,4,
2004,2,27,14,shd,pl,3C,5.5,290,320,0.58,M,,1,4,
2004,2,27,15,shd,pl,3C,5.5,342,375,0.98,M,,2,4,
2004,2,27,16,shd,pl,3C,6,409,447,1.63,M,,3,4,
2004,2,27,17,shd,pl,3C,6,360,398,1.15,M,,3,4,
2004,2,27,18,shd,pl,3C,6,283,312,0.53,M,,1,4,
2004,2,27,19,shd,pl,3C,6,351,388,1.1,M,,4,1,
2004,3,3,1,shd,pp,1B,6,253,282,0.4,F,0.7,2,1,
2004,3,3,2,shd,pp,1B,6,258,282,0.41,M,,1,4,
2004,3,3,3,shd,pp,1B,6,292,325,0.66,F,2.6,1,4,
2004,3,3,4,shd,hl,1C,0,385,428,1.38,F,31.9,3,4,
2004,3,3,5,shd,hl,1C,0,373,412,1.37,F,18,3,4,
2004,3,8,1,shd,hl,3D,0,375,409,1.15,M,,3,4,
2004,3,9,1,shd,pp,2B,5.5,478,520,2.9,F,228.8,4,4,
2004,3,12,1,shd,pl,2C,6,515,560,3.85,F,369.2,5,1,
2004,3,29,1,shd,hl,2E,0,359,398,1.24,F,118.9,5,1,
2004,3,29,2,shd,hl,2E,0,409,453,1.5,M,,4,4,
2004,3,29,3,shd,hl,2E,0,350,388,1.12,M,,4,4,
2004,3,29,4,shd,hl,2E,0,275,305,0.52,M,,1,4,
2004,3,29,5,shd,hl,2E,0,395,430,1.57,F,146.2,3,4,
2004,3,29,6,shd,hl,2E,0,325,362,0.94,F,137.6,4,4,
2004,3,29,7,shd,hl,2E,0,290,320,0.65,F,39.7,1,4,
2004,3,29,8,shd,hl,2E,0,340,372,0.93,M,,2,4,
2004,3,29,9,shd,hl,2E,0,364,405,1.2,M,,5,4,
2004,3,29,10,shd,hl,2B,0,320,357,0.81,M,,3,4,
2004,3,29,11,shd,hl,2B,0,310,340,0.68,M,,3,4,
2004,3,29,12,shd,hl,2B,0,283,310,0.58,F,4.1,2,4,
2004,3,29,13,shd,hl,2B,0,338,375,0.93,F,8.2,3,4,
2004,3,29,14,shd,hl,2B,0,319,351,0.8,F,35,3,4,
2004,3,29,15,shd,hl,2B,0,237,261,0.33,F,1.2,1,4,
2004,4,8,1,shd,pl,1B,4,266,295,0.49,F,2.8,2,1,
2004,4,19,1,shd,ct,3C,0,233,248,0.27,U,,2,1,
2004,4,19,2,shd,pl,3C,4.5,257,284,0.41,M,,2,1,
2004,4,19,3,shd,pl,3C,4.5,255,282,0.43,U,,2,1,
2004,4,19,4,shd,pl,3C,5,320,352,0.86,M,,4,1,
2004,4,19,5,shd,pl,3C,5,295,325,0.7,M,,2,1,
2004,4,19,6,shd,pl,3C,6,257,284,0.46,M,,2,1,
2004,5,3,1,shd,tl,3C,0,490,544,2.65,M,,6,1,
2004,5,4,2,shd,tl,3C,0,460,516,2.39,F,31.1,5,1,
2004,5,4,1,shd,tl,,0,466,513,2.23,F,9.7,5,1,
2004,5,11,1,shd,pl,3B,5,286,314,0.57,M,,2,2,
2004,5,11,2,shd,pl,3B,6,365,400,1.14,M,,3,2,
2004,5,11,3,shd,pl,3B,6,360,395,1.22,F,3.4,3,2,
2004,5,11,4,shd,pl,3B,4.5,254,277,0.38,M,,2,1,
2004,5,17,1,shd,tl,3C,0,486,533,2.54,M,,12,2,
2004,5,20,2,shd,tl,3C,0,435,480,1.87,M,,4,1,
2004,5,20,3,shd,tl,3C,0,460,495,2.338,F,12.6,8,1,
2004,5,20,4,shd,hl,3D,0,332,365,0.88,M,,4,1,
2004,5,20,5,shd,hl,3D,0,389,430,1.25,M,,5,2,
2004,5,20,6,shd,hl,3D,0,341,374,0.89,M,,4,2,
2004,5,26,1,shd,tl,3C,0,168,179,0.18,U,,1,2,
2004,6,16,1,shd,pl,1D,5,266,297,0.48,F,0.9,2,2,
2004,6,16,2,shd,pl,1D,5,305,336,0.67,F,2.3,2,2,
2004,7,6,1,shd,tl,1B,0,399,442,1.63,M,,4,2,
2004,8,16,1,shd,pl,1B,6,334,,0.89,F,4.1,2,2,
2004,8,16,2,shd,pl,1B,5.5,322,,0.86,F,3.1,2,2,
2004,9,8,1,shd,tl,3C,0,458,502,2.17,F,7.9,4,3,
2004,9,29,1,shd,pp,1B,5,314,341,0.74,F,3.39,2,3,
2004,10,7,1,shd,pl,3D,4.5,296,329,0.6,M,,2,3,
2004,10,21,1,shd,pp,1C,3,312,344,0.73,M,,2,4,
2004,11,19,1,shd,rh,3D,3,390,430,1.27,F,13.1,5,4,
2004,11,29,1,shd,pp,1A,6,318,,0.7,F,5.9,2,4,
2004,11,29,2,shd,pp,1A,5,292,,0.6,F,3,2,4,
2004,11,29,3,shd,pp,1A,5,327,,0.9,M,,2,4,
2004,11,29,4,shd,pp,1A,6,343,,0.87,F,5.5,2,3,
2004,11,29,5,shd,pp,1A,5.5,342,,0.97,M,,2,4,
2004,11,29,6,shd,pp,1A,5.5,335,,0.83,F,5.2,2,4,
2004,11,29,7,shd,pp,1A,6,345,,1.05,F,6.9,2,4,
2004,11,29,8,shd,pp,1A,6,360,,1.24,F,7,2,3,
2004,11,29,9,shd,pp,1A,5.5,355,,1.03,F,,2,4,
2004,12,10,1,shd,pp,1A,5,305,336,0.61,F,3.7,2,4,
2004,12,10,2,shd,pp,1A,5,303,338,0.63,F,2.9,1,4,
2005,1,20,1,shd,pl,4E,4,462,521,2.65,F,60.6,5,4,
2005,1,20,2,shd,pl,4E,4,426,478,1.88,F,24.2,5,4,
2005,1,20,3,shd,pl,4E,2.5,450,495,2.21,F,30.9,5,4,
2005,2,22,1,shd,pp,1B,6,471,522,2.59,M,,5,4,
2005,3,4,1,shd,pl,2C,2,455,,2.73,F,137.5,4,4,
2005,3,17,1,shd,pl,4E,2.5,431,489,2.01,F,164.6,4,4,
2005,3,17,2,shd,pl,4E,2.5,415,459,1.68,F,112,2,4,
2005,3,17,3,shd,pp,4A,5,341,382,1.07,F,36.5,2,4,
2005,3,18,1,shd,tl,1C,,304,338,0.78,M,,3,4,
2005,3,18,2,shd,tl,1C,,320,357,0.78,M,,2,4,
2005,4,4,1,shd,pl,3E,6,352,390,1.04,M,,2,4,
2005,4,4,2,shd,pl,3E,6,427,476,1.59,F,8.5,4,4,
2005,4,5,1,shd,pl,3E,4.5,312,,0.9,F,65.8,2,4,
2005,4,7,1,shd,pp,2A,5,335,,0.85,M,,3,1,
2005,4,7,2,shd,pp,2A,6,312,,0.76,F,57.1,3,1,
2005,4,8,1,shd,pl,3D,5,342,378,0.88,M,,5,4,
2005,4,8,2,shd,pl,3D,5.5,365,406,1.21,F,3.1,3,1,
2005,4,8,3,shd,pl,3D,5.5,380,410,1.31,F,68,3,4,
2005,4,8,4,shd,pl,3D,6,360,397,1.02,M,,2,4,
2005,4,13,1,shd,pl,4C,5,404,448,1.54,M,,2,4,
2005,4,20,1,shd,pl,1A,6,344,395,0.95,F,4.8,2,4,
2005,4,27,1,shd,tl,3C,,385,421,1.5,F,8.9,2,4,
2005,5,4,1,shd,pp,1C,6,324,354,0.9,M,,2,4,
2005,5,12,1,shd,tl,1C,,295,317,0.69,M,,3,1,
2005,5,13,1,shd,pl,1A,5,274,300,0.47,F,1.5,2,1,
2005,5,23,1,shd,tl,3C,,160,172,0.11,U,,,,
2005,5,24,1,shd,pl,4E,4.5,374,409,1.35,F,5,4,1,
2005,5,31,1,shd,tl,3C,,275,298,0.51,U,,2,1,
2005,5,31,2,shd,tl,3C,,148,160,0.09,U,,1,1,
2005,6,1,1,shd,pl,3C,5,375,417,1.28,M,,3,1,
2005,6,1,2,shd,pl,3C,5.5,342,388,0.97,M,,2,4,
2005,6,1,3,shd,pl,3C,4.5,335,305,0.65,M,,1,4,
2005,6,7,1,shd,pl,3D,5.5,320,348,0.77,F,1.8,2,4,
2005,6,24,1,shd,pl,1B,5,305,338,0.74,U,,3,1,
2005,8,10,1,shd,tl,1A,,520,550,3.36,F,23,15,2,
2005,9,28,1,shd,pl,4A,6,351,389,0.98,M,,3,2,
2005,9,28,2,shd,pl,4E,6,386,423,1.25,F,7.7,5,2,
2005,10,10,1,shd,hl,1C,,559,616,,F,36.3,9,3,
2005,10,26,1,shd,pp,1A,4,229,252,0.3,U,,1,3,
2005,10,27,1,shd,pp,1D,3,372,419,1.2,F,9.6,3,2,
2005,11,4,1,shd,pp,2E,2.5,483,528,2.28,M,,7,1,
2005,11,14,1,shd,tl,1C,,356,383,1.1,M,,3,3,
2005,11,15,1,shd,pp,1E,5.5,372,404,1.36,M,,3,3,
2005,11,15,2,shd,pp,1E,5.5,407,450,1.48,M,,3,2,
2005,12,13,1,shd,pl,1B,6,397,,1.48,F,9.9,3,3,
2005,12,13,2,shd,pl,1B,6,341,,0.94,M,,2,3,
2005,12,13,3,shd,pl,1B,5.5,384,,1.42,F,9.7,3,3,
2005,12,13,4,shd,pl,1B,5.5,468,,2.78,F,25,6,3,
2005,12,13,5,shd,pl,1B,6,406,,1.74,F,9.8,3,3,
2006,1,18,1,shd,pl,3D,6,399,445,1.56,M,,4,3,
2006,1,18,2,shd,pl,3D,6,371,411,1.1,M,,5,4,
2006,2,7,1,shd,pl,3B,5.5,376,418,,U,,2,4,
2006,2,7,2,shd,pl,3B,6,463,510,,F,17.9,2,3,
2006,2,8,1,shd,pl,4C,6,453,500,2.2,F,31.2,6,3,
2006,2,8,2,shd,pl,4C,6,406,442,1.64,M,,7,4,
2006,2,8,3,shd,pl,4C,6,476,522,2.68,F,97.4,6,3,
2006,2,8,4,shd,pl,4C,6,405,445,1.64,M,,4,3,
2006,2,14,1,shd,tl,1C,,192,207,0.16,U,,0,4,
2006,2,16,1,shd,pp,1B,4.5,291,315,0.58,U,,1,4,
2006,2,16,2,shd,pp,1B,4.5,284,312,0.58,M,,2,4,
2006,2,16,3,shd,pp,1B,5,348,376,1.02,M,,3,4,
2006,2,16,4,shd,pp,1B,5,354,390,1.1,M,,2,4,
2006,2,16,5,shd,pp,1B,5,260,282,0.46,U,,1,4,
2006,2,16,6,shd,pp,1B,6,296,324,0.66,M,,1,4,
2006,3,6,1,shd,pl,1A,3.5,293,324,0.6,F,4.1,2,4,
2006,3,13,1,shd,pp,2A,2.5,350,389,1.06,F,53.9,2,3,
2006,3,13,2,shd,pp,2A,3,300,339,0.7,M,,3,3,
2006,3,13,3,shd,pp,2A,3,319,350,0.8,M,,2,3,
2006,3,13,4,shd,pp,2A,3,355,398,1.16,M,,3,4,
2006,3,13,5,shd,pp,2A,3,355,394,1.08,M,,2,3,
2006,5,2,1,shd,pp,1E,5,356,,1,F,2.2,3,4,
2006,5,2,2,shd,pp,1E,5,367,,1.18,M,,3,4,
2006,5,2,3,shd,pp,1E,5.5,365,,1.16,F,1.9,3,4,
2006,5,3,1,shd,pl,2D,6,358,396,2.25,M,,4,1,
2006,5,5,1,shd,pp,2B,6,344,379,0.94,M,,3,2,
2006,6,7,1,shd,pl,3A,4.5,287,,0.53,U,,2,2,
2006,6,7,2,shd,pl,3A,4.5,344,,0.87,F,2.4,3,3,
2006,7,6,1,shd,pp,3B,2,393,,1.59,M,,5,2,
2006,8,24,1,shd,tl,,,340,376,1.12,U,,2,3,
2006,9,27,1,shd,pl,2B,5,310,,0.81,F,0.9,2,3,
2006,10,24,1,shd,pl,1B,6,336,,0.85,F,5.3,2,3,
2006,12,11,1,shd,tl,3C,,303,339,0.75,F,,2,3,
2007,1,23,1,shd,tl,2C,,475,520,3.15,F,73.4,6,4,
2007,3,20,1,shd,pl,2B,5,399,439,1.52,M,,3,4,
2007,3,20,2,shd,pl,2B,5,451,495,2.48,F,207.4,4,4,
2007,3,20,3,shd,pl,2B,5,381,425,1.52,F,121.5,2,4,
2007,3,20,4,shd,pl,2B,6,358,393,1.23,F,94.9,2,4,
2007,3,20,5,shd,pl,2B,6,409,449,1.89,F,122.2,missing stones,,
2007,3,20,6,shd,pl,2B,6,459,,2.48,M,,4,4,
2007,4,17,1,shd,pl,2B,6,444,495,1.97,F,,5,2,
2007,4,24,1,shd,pl,3D,6,306,,0.78,F,8.4,3,2,
2007,4,24,2,shd,pl,3D,6,313,,0.7,F,1.5,3,1,
2007,4,27,1,shd,pp,1D,5.5,312,340,0.73,F,2.7,2,2,
2007,4,27,2,shd,pl,1E,6,398,435,1.37,M,,3,2,
2007,4,27,3,shd,pl,1E,6,375,411,1.3,M,,4,2,
2007,4,27,4,shd,pl,1E,6,425,460,1.63,M,,5,2,
2007,4,27,5,shd,pp,1D,6,419,459,1.97,F,,3,2,
2007,4,27,6,shd,pp,1D,6,378,412,1.36,F,28.2,3,2,
2007,4,30,1,shd,pl,4B,3,460,507,2.5,F,9.9,8,2,
2007,4,30,2,shd,pl,4B,4,485,532,2.34,M,,7,2,
2007,5,8,1,shd,pl,3C,6,350,385,0.92,M,,,,
2007,5,22,1,shd,tl,3C,,353,386,1.04,U,,7,2,
2007,5,22,2,shd,tl,3C,,400,441,1.56,M,,4,2,
2007,6,7,1,shd,pp,3D,5,308,342,0.7,M,,2,2,
2007,6,7,2,shd,pp,3D,5.5,298,350,0.72,M,,2,2,
2007,6,26,1,shd,pl,4E,6,438,537,2.6,M,,7,2,
2007,8,6,1,shd,pl,3D,5.5,323,355,0.75,F,2.2,3,2,
2007,8,6,2,shd,pl,3D,5.5,313,342,0.72,U,,5,2,
2007,10,30,1,shd,pp,1E,5,334,368,0.82,F,3.4,1,3,
2007,10,30,2,shd,pp,1E,6,411,,0.8,F,13.6,,,
2007,11,5,1,shd,pp,1E,2.5,188,205,0.15,U,,0,3,
2007,11,8,1,shd,pp,3B,4,404,443,1.57,F,14,3,3,
2007,11,9,1,shd,tl,1C,,150,,0.083,U,,0,3,
2007,11,9,2,shd,tl,1C,,131,143,0.058,U,,0,3,
2007,11,9,3,shd,tl,1C,,158,173,0.11,U,,0,3,
2007,11,9,4,shd,tl,1C,,159,175,0.12,U,,0,3,
2007,12,10,1,shd,tl,1C,,120,131,0.044,U,,0,3,
2007,12,10,2,shd,tl,1C,,98,106,0.024,U,,0,3,
2007,12,19,1,shd,pl,4E,3.5,408,457,1.72,F,13,4,4,
2008,2,27,1,shd,pp,3D,3,336,372,0.92,F,12.8,3,4,
2008,2,27,2,shd,pl,3D,4.5,354,391,1,M,,3,4,
2008,3,6,1,shd,pp,1D,6,301,331,0.65,F,3.8,1,4,
2008,3,6,2,shd,tl,1C,,134,145,0.05,U,,1,1,
2008,4,21,1,shd,pl,3C,5.5,333,367,0.87,F,4.5,4,1,
2008,4,23,1,shd,pp,1D,5.5,350,389,1.04,M,,2,1,
2008,4,24,1,shd,hl,,,405,443,1.51,F,67.7,2,4,
2008,5,7,1,shd,pl,2D,4.5,367,409,1.18,F,6.8,6,1,
2008,5,7,2,shd,pl,2D,4.5,410,452,1.48,U,,3,2,
2008,5,7,3,shd,pl,2C,6,311,339,0.72,U,,2,2,
2008,6,5,1,shd,pl,3A,5,376,421,1.29,M,,5,2,
2008,6,5,2,shd,pl,3A,6,258,287,,F,,2,2,
