SPECIES NAME,SPECIES CODE,DATE,STA,GRID,GEAR,NETHRS,PANEL,TL,FL,SL,WT,SEX,GON_WT,MATUR,GCRL_ID,MDMR_ID,AGE,MARGIN
Archosargus probatocephalus,36030680101,1/15/2006,301,-1,10,1.00,2.5,340,300,266,653,1,1,-1,,DSH00001,,
Archosargus probatocephalus,36030680101,2/22/2006,111,-1,10,1.00,4.0,284,255,225,412,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,2/22/2006,112,-1,10,1.00,-1.0,420,375,334,1330,2,15,-1,,-1,,
Archosargus probatocephalus,36030680101,5/3/2006,322,-1,10,1.00,3.0,543,492,434,2630,1,5,-1,,-1,,
Archosargus probatocephalus,36030680101,5/23/2006,201,-1,10,1.00,4.0,235,218,180,232,3,-1,-1,,DSH00002,,
Archosargus probatocephalus,36030680101,7/27/2006,322,-1,10,1.00,3.5,200,181,161,166,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,11/16/2006,201,-1,10,1.00,2.5,325,302,254,607,2,-1,-1,,DSH00003,,
Archosargus probatocephalus,36030680101,1/9/2007,301,-1,10,1.00,2.5,320,295,254,621,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,3/19/2007,322,-1,10,1.00,3.5,535,495,425,3407,2,338,-1,,-1,,
Archosargus probatocephalus,36030680101,4/25/2007,301,-1,10,1.00,4.0,288,262,222,440,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/26/2007,321,-1,10,1.00,3.5,231,212,184,220,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/26/2007,321,-1,10,1.00,3.5,311,284,258,569,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,7/26/2007,322,-1,10,1.00,4.0,235,210,190,235,2,-1,-1,,DSH7022,,
Archosargus probatocephalus,36030680101,9/27/2007,321,-1,10,1.00,2.0,408,381,337,1554,1,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,11/26/2007,302,-1,10,1.00,2.0,466,417,356,1849,2,4,-1,,-1,,
Archosargus probatocephalus,36030680101,12/12/2007,322,-1,10,1.00,3.5,372,340,291,918,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,12/12/2007,322,-1,10,1.00,3.5,400,363,308,1103,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,12/21/2007,201,-1,10,1.00,4.0,334,334,289,427,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,1/17/2008,112,-1,10,1.00,4.0,409,371,324,1175,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,3/13/2008,321,-1,10,1.00,4.0,349,315,281,729,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/9/2008,301,-1,10,1.00,4.0,360,334,279,740,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/15/2008,322,-1,10,1.00,2.0,478,448,401,2178,2,39,-1,,-1,,
Archosargus probatocephalus,36030680101,4/16/2008,112,-1,10,1.00,4.0,260,235,209,284,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/16/2008,112,-1,10,1.00,4.0,274,250,220,341,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,6/23/2008,113,8,10,1.00,2.5,177,165,137,118,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,7/17/2008,101,13,10,1.00,3.5,427,390,340,1363,2,-1,11,,-1,,
Archosargus probatocephalus,36030680101,8/21/2008,101,2,10,1.00,2.5,198,178,162,160,3,-1,1,,-1,,
Archosargus probatocephalus,36030680101,8/21/2008,101,2,10,1.00,3.5,235,217,195,267,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,9/17/2008,111,-1,10,1.00,2.5,307,281,245,539,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,12/8/2008,113,9,10,1.00,2.0,456,409,370,1498,1,-1,1,,DSH8216,6,3
Archosargus probatocephalus,36030680101,12/8/2008,113,9,10,1.00,2.5,416,377,342,1215,1,-1,5,,DSH8217,3,3
Archosargus probatocephalus,36030680101,12/8/2008,113,9,10,1.00,2.5,458,416,390,1659,2,19,2,,DSH8218,5,3
Archosargus probatocephalus,36030680101,2/18/2009,303,2,10,1.00,2.5,401,362,335,1086,2,-1,2,,-1,,
Archosargus probatocephalus,36030680101,2/18/2009,303,2,10,1.00,4.0,455,413,380,1701,2,44,3,,-1,,
Archosargus probatocephalus,36030680101,3/10/2009,322,-1,10,1.00,4.0,443,418,356,1698,1,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,3/10/2009,322,-1,10,1.00,4.0,459,442,364,1789,1,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/9/2009,112,-1,10,1.00,3.5,315,287,248,527,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/9/2009,112,-1,10,1.00,4.0,327,295,256,592,2,-1,2,,-1,,
Archosargus probatocephalus,36030680101,6/25/2009,101,9,10,1.00,4.0,280,252,226,401,1,-1,1,,-1,,
Archosargus probatocephalus,36030680101,7/17/2009,303,20,10,1.00,2.5,190,171,146,122,3,-1,5,,-1,,
Archosargus probatocephalus,36030680101,8/27/2009,113,15,10,1.00,4.0,343,307,273,710,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,9/22/2009,223,14,10,1.00,3.5,505,469,414,2090,2,14,2,,-1,,
Archosargus probatocephalus,36030680101,9/22/2009,223,14,10,1.00,4.0,354,331,285,760,2,4,2,,-1,,
Archosargus probatocephalus,36030680101,9/24/2009,321,-1,10,1.00,3.5,208,189,168,169,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/8/2009,111,-1,10,1.00,3.5,255,213,185,242,1,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/8/2009,111,-1,10,1.00,3.5,212,192,167,188,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/16/2009,303,20,10,1.00,4.0,231,214,183,229,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/16/2009,303,20,10,1.00,4.0,285,261,226,386,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/16/2009,303,20,10,1.00,4.0,361,328,277,688,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/16/2009,303,20,10,1.00,4.0,326,293,252,501,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/20/2009,101,9,10,1.00,2.5,404,369,317,1169,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,11/13/2009,322,-1,10,1.00,4.0,223,203,170,190,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,11/13/2009,322,-1,10,1.00,4.0,252,235,197,323,3,-1,5,,-1,,
Archosargus probatocephalus,36030680101,12/8/2009,101,14,10,1.00,4.0,505,455,402,2416,1,-1,1,,-1,,
Archosargus probatocephalus,36030680101,1/20/2010,303,17,10,1.00,4.0,238,222,184,237,1,-1,2,,IDSH10002,1,4
Archosargus probatocephalus,36030680101,1/20/2010,303,17,10,1.00,4.0,272,246,212,329,2,2,2,,IDSH10001,2,4
Archosargus probatocephalus,36030680101,2/22/2010,303,27,10,1.00,2.0,356,319,291,872,1,-1,2,,IDSH10004,5,4
Archosargus probatocephalus,36030680101,2/22/2010,303,27,10,1.00,2.0,467,410,370,2099,1,-1,2,,IDSH10003,5,4
Archosargus probatocephalus,36030680101,2/23/2010,101,17,10,1.00,3.5,435,391,360,1371,2,16,2,,IDSH10007,2,4
Archosargus probatocephalus,36030680101,2/23/2010,113,22,10,1.00,2.5,388,350,319,953,3,-1,-1,,IDSH10006,3,4
Archosargus probatocephalus,36030680101,2/23/2010,113,22,10,1.00,2.5,474,425,386,1849,1,-1,-1,,IDSH10005,4,4
Archosargus probatocephalus,36030680101,3/11/2010,303,10,10,1.00,2.5,398,363,333,1142,2,-1,-1,,IDSH10008,2,4
Archosargus probatocephalus,36030680101,4/7/2010,112,-1,10,1.00,4.0,304,276,241,976,2,-1,5,,IDSH10009,2,4
Archosargus probatocephalus,36030680101,4/8/2010,321,-1,10,1.00,4.0,358,318,283,856,2,53,3,,IDSH10010,2,4
Archosargus probatocephalus,36030680101,4/16/2010,223,10,10,1.00,2.0,439,397,362,1536,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,9/14/2010,223,29,10,1.00,3.5,512,463,405,2299,2,-1,1,,-1,,
Archosargus probatocephalus,36030680101,10/7/2010,111,-1,10,1.00,2.0,580,529,455,3919,3,-1,-1,,IDSH10011,12,4
Archosargus probatocephalus,36030680101,12/1/2010,303,18,10,1.00,4.0,317,290,261,590,2,4,2,,IDSH10012,2,3
Archosargus probatocephalus,36030680101,12/2/2010,101,23,10,1.00,3.5,327,295,262,578,2,-1,5,,IDSH10013,2,4
Archosargus probatocephalus,36030680101,1/10/2011,112,-1,10,1.00,4.0,296,270,233,407,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,2/8/2011,112,-1,10,1.00,3.5,263,236,201,211,2,-1,5,,IDSH11001,5,1
Archosargus probatocephalus,36030680101,3/7/2011,112,-1,10,1.00,2.0,417,375,334,1159,2,-1,5,,IDSH11002,2,4
Archosargus probatocephalus,36030680101,3/7/2011,112,-1,10,1.00,2.5,339,302,271,631,2,-1,5,,IDSH11003,0,4
Archosargus probatocephalus,36030680101,3/7/2011,112,-1,10,1.00,4.0,231,210,188,228,2,-1,-1,,IDSH11004,2,2
Archosargus probatocephalus,36030680101,5/12/2011,101,22,10,1.00,3.0,191,176,152,143,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,7/19/2011,223,30,10,1.00,3.5,378,339,304,952,2,4,2,,IDSH11005,2,2
Archosargus probatocephalus,36030680101,10/13/2011,321,-1,10,1.00,4.0,258,235,210,345,1,-1,5,,IDSH11006,1,4
Archosargus probatocephalus,36030680101,11/18/2011,321,-1,10,1.00,4.0,380,380,305,1120,1,-1,2,,-1,,
Archosargus probatocephalus,36030680101,11/18/2011,322,-1,10,1.00,4.0,280,253,220,407,1,-1,2,,IDSH11012,1,4
Archosargus probatocephalus,36030680101,11/18/2011,322,-1,10,1.00,4.0,292,267,232,511,2,-1,2,,IDSH11008,1,4
Archosargus probatocephalus,36030680101,11/18/2011,322,-1,10,1.00,4.0,297,270,233,510,1,-1,2,,IDSH11009,1,4
Archosargus probatocephalus,36030680101,11/18/2011,322,-1,10,1.00,4.0,358,324,285,902,1,-1,2,,IDSH11011,1,4
Archosargus probatocephalus,36030680101,11/18/2011,322,-1,10,1.00,4.0,366,325,280,767,2,-1,2,,IDSH11010,2,4
Archosargus probatocephalus,36030680101,12/7/2011,111,-1,10,1.00,2.0,409,376,343,1180,1,-1,3,,-1,,
Archosargus probatocephalus,36030680101,12/7/2011,113,22,10,1.00,2.0,360,325,284,775,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,12/7/2011,113,22,10,1.00,2.0,366,329,302,852,1,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,12/7/2011,113,22,10,1.00,2.0,367,332,298,887,2,-1,-1,,IDSH11014,3,4
Archosargus probatocephalus,36030680101,12/7/2011,113,22,10,1.00,2.0,374,343,310,914,2,-1,-1,,IDSH11016,4,4
Archosargus probatocephalus,36030680101,12/7/2011,113,22,10,1.00,2.0,380,338,307,906,1,-1,-1,,IDSH11017,4,4
Archosargus probatocephalus,36030680101,12/7/2011,113,22,10,1.00,2.0,387,348,318,1067,2,-1,-1,,IDSH11015,3,4
Archosargus probatocephalus,36030680101,12/7/2011,113,22,10,1.00,2.0,430,384,350,1334,1,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,12/7/2011,113,22,10,1.00,2.5,404,369,342,1182,1,-1,-1,,IDSH11019,4,4
Archosargus probatocephalus,36030680101,12/12/2011,101,14,10,1.00,4.0,411,370,336,1124,2,-1,1,,-1,,
Archosargus probatocephalus,36030680101,12/12/2011,101,14,10,1.00,4.0,412,373,331,1159,2,-1,2,,-1,,
Archosargus probatocephalus,36030680101,12/12/2011,101,14,10,1.00,4.0,427,388,352,1358,2,-1,1,,-1,,
Archosargus probatocephalus,36030680101,12/12/2011,101,14,10,1.00,4.0,456,414,381,1643,2,-1,2,,-1,,
Archosargus probatocephalus,36030680101,12/12/2011,101,14,10,1.00,4.0,479,433,394,1706,2,-1,1,,-1,,
Archosargus probatocephalus,36030680101,1/5/2012,322,-1,10,1.00,3.5,201,185,154,142,2,-1,5,-1,IDSH12001,0,4
Archosargus probatocephalus,36030680101,1/5/2012,322,-1,10,1.00,4.0,223,216,174,221,2,-1,-1,-1,IDSH12002,0,4
Archosargus probatocephalus,36030680101,2/8/2012,322,-1,10,1.00,4.0,294,268,238,466,1,-1,5,-1,IDSH12003,1,4
Archosargus probatocephalus,36030680101,2/9/2012,303,23,10,1.00,4.0,309,275,241,517,2,-1,5,-1,-1,,
Archosargus probatocephalus,36030680101,2/14/2012,112,-1,10,1.00,4.0,430,387,342,1425,2,-1,5,-1,IDSH12004,,
Archosargus probatocephalus,36030680101,3/9/2012,303,11,10,1.00,3.0,379,338,306,938,1,43,3,-1,IDSH12005,2,4
Archosargus probatocephalus,36030680101,3/9/2012,303,11,10,1.00,3.5,415,379,344,1371,2,77,3,-1,IDSH12006,5,2
Archosargus probatocephalus,36030680101,4/19/2012,321,-1,10,1.00,4.0,296,268,235,485,2,-1,-1,-1,IDSH12007,,
Archosargus probatocephalus,36030680101,6/6/2012,303,16,10,1.00,3.5,275,249,222,362,2,-1,5,-1,IDSH12009,,
Archosargus probatocephalus,36030680101,6/6/2012,303,16,10,1.00,4.0,297,267,241,472,2,-1,5,-1,IDSH12008,,
Archosargus probatocephalus,36030680101,7/24/2012,101,24,10,1.00,4.0,238,216,186,275,2,-1,5,-1,IDSH12010,,
Archosargus probatocephalus,36030680101,7/25/2012,321,-1,10,1.00,4.0,235,230,182,235,2,-1,5,-1,IDSH12013,1,3
Archosargus probatocephalus,36030680101,7/25/2012,321,-1,10,1.00,4.0,255,244,202,326,2,-1,5,-1,IDSH12014,2,3
Archosargus probatocephalus,36030680101,7/25/2012,322,-1,10,1.00,4.0,335,304,259,699,2,-1,5,-1,IDSH12011,1,3
Archosargus probatocephalus,36030680101,7/25/2012,322,-1,10,1.00,4.0,262,237,201,345,2,-1,5,-1,IDSH12012,1,4
Archosargus probatocephalus,36030680101,8/21/2012,303,31,10,1.00,3.0,214,203,173,203,2,-1,5,-1,IDSH12015,1,3
Archosargus probatocephalus,36030680101,11/19/2012,321,-1,10,1.00,4.0,457,415,382,1633,2,-1,-1,-1,IDSH12016,3,3
Archosargus probatocephalus,36030680101,1/23/2013,111,-1,10,1.00,4.0,528,476,404,2658,2,40,2,-1,IDSH13002,7,4
Archosargus probatocephalus,36030680101,1/23/2013,112,-1,10,1.00,4.0,278,254,221,333,2,-1,5,-1,IDSH13001,1,4
Archosargus probatocephalus,36030680101,1/29/2013,113,24,10,1.00,3.5,454,412,369,1555,2,-1,5,-1,IDSH13003,6,3
Archosargus probatocephalus,36030680101,1/29/2013,113,24,10,1.00,4.0,466,424,380,1665,2,20,2,-1,IDSH13004,4,4
Archosargus probatocephalus,36030680101,2/26/2013,223,14,10,1.00,2.0,357,330,282,808,1,-1,4,-1,IDSH13006,2,1
Archosargus probatocephalus,36030680101,2/26/2013,223,14,10,1.00,2.5,416,377,337,1295,2,-1,2,-1,IDSH13007,4,1
Archosargus probatocephalus,36030680101,2/26/2013,303,8,10,1.00,3.0,475,429,364,1891,1,-1,4,-1,IDSH13005,5,4
Archosargus probatocephalus,36030680101,2/27/2013,101,24,10,1.00,3.5,320,292,258,542,2,-1,5,-1,IDSH13008,1,4
Archosargus probatocephalus,36030680101,3/14/2013,113,2,10,1.00,2.0,472,429,400,2071,1,26,3,-1,IDSH13009,6,1
Archosargus probatocephalus,36030680101,3/14/2013,113,2,10,1.00,2.0,444,404,387,1704,2,54,2,-1,IDSH13010,5,1
Archosargus probatocephalus,36030680101,3/14/2013,113,2,10,1.00,2.0,457,408,373,1800,2,37,2,-1,IDSH13011,6,3
Archosargus probatocephalus,36030680101,3/14/2013,113,2,10,1.00,2.0,400,362,321,1156,1,19,3,-1,IDSH13012,3,4
Archosargus probatocephalus,36030680101,3/14/2013,113,2,10,1.00,2.0,471,428,389,1887,2,22,2,-1,-1,,
Archosargus probatocephalus,36030680101,3/14/2013,113,2,10,1.00,2.5,472,427,389,2238,2,84,3,-1,-1,,
Archosargus probatocephalus,36030680101,3/14/2013,113,2,10,1.00,2.5,427,398,349,1491,1,34,3,-1,-1,,
Archosargus probatocephalus,36030680101,3/27/2013,321,-1,10,1.00,3.0,389,360,297,1118,2,90,3,-1,IDSH13013,3,4
Archosargus probatocephalus,36030680101,4/16/2013,112,-1,10,1.00,2.0,250,229,196,267,3,-1,5,-1,IDSH13014,2,1
Archosargus probatocephalus,36030680101,4/24/2013,303,4,10,1.00,3.5,241,224,193,249,2,-1,5,-1,IDSH13015,1,4
Archosargus probatocephalus,36030680101,4/24/2013,303,4,10,1.00,4.0,239,215,183,251,2,-1,5,-1,IDSH13017,1,4
Archosargus probatocephalus,36030680101,4/24/2013,303,4,10,1.00,4.0,264,240,209,289,2,-1,-1,-1,IDSH13016,1,4
Archosargus probatocephalus,36030680101,2/14/2014,111,-1,10,1.00,4.0,409,368,312,1234,2,-1,5,-1,IDSH14001,3,4
Archosargus probatocephalus,36030680101,2/24/2014,113,23,10,1.00,3.5,530,486,428,2932,2,-1,1,-1,IDSH14002,6,4
Archosargus probatocephalus,36030680101,3/19/2014,223,21,10,1.00,4.0,485,442,381,2420,2,234,3,-1,IDSH14003,5,3
Archosargus probatocephalus,36030680101,3/20/2014,111,-1,10,1.00,4.0,249,223,194,256,2,-1,5,-1,IDSH14004,2,1
Archosargus probatocephalus,36030680101,3/20/2014,112,-1,10,1.00,3.0,327,302,258,536,2,-1,5,-1,IDSH14008,2,1
Archosargus probatocephalus,36030680101,3/20/2014,112,-1,10,1.00,4.0,222,204,170,194,3,-1,5,-1,IDSH14009,1,4
Archosargus probatocephalus,36030680101,3/20/2014,112,-1,10,1.00,4.0,329,300,257,535,2,-1,5,-1,IDSH14010,1,4
Archosargus probatocephalus,36030680101,3/20/2014,113,16,10,1.00,3.5,239,218,189,245,2,-1,5,-1,IDSH14005,7,4
Archosargus probatocephalus,36030680101,3/20/2014,113,16,10,1.00,4.0,241,220,187,264,2,-1,5,-1,IDSH14006,1,4
Archosargus probatocephalus,36030680101,3/20/2014,113,16,10,1.00,4.0,305,278,239,548,2,-1,5,-1,IDSH14007,2,4
Archosargus probatocephalus,36030680101,4/23/2014,111,-1,10,1.00,3.5,239,218,189,272,3,-1,-1,-1,-1,,
Archosargus probatocephalus,36030680101,5/15/2014,321,-1,10,1.00,2.5,176,163,142,108,3,-1,5,-1,IDSH14011,1,4
Archosargus probatocephalus,36030680101,8/14/2014,112,-1,10,1.00,3.5,206,191,163,184,2,-1,5,-1,IDSH14012,1,2
Archosargus probatocephalus,36030680101,8/14/2014,112,-1,10,1.00,3.5,395,353,309,1028,1,-1,2,-1,IDSH14013,7,2
Archosargus probatocephalus,36030680101,8/20/2014,101,22,10,1.00,3.5,223,205,169,209,2,-1,5,-1,IDSH14014,1,4
Archosargus probatocephalus,36030680101,10/10/2014,303,10,10,1.00,3.0,445,410,352,1542,2,-1,2,-1,IDSH14015,5,4
Archosargus probatocephalus,36030680101,10/27/2014,111,-1,10,1.00,2.5,409,409,316,1141,2,-1,2,-1,-1,,
Archosargus probatocephalus,36030680101,11/19/2014,303,6,10,1.00,3.0,380,341,304,1024,2,-1,5,-1,IDSH14016,4,3
Archosargus probatocephalus,36030680101,11/20/2014,112,-1,10,1.00,2.5,305,280,235,544,2,-1,1,-1,IDSH14017,-1,-1
Archosargus probatocephalus,36030680101,11/20/2014,112,-1,10,1.00,4.0,385,354,304,1049,2,11,2,-1,IDSH14018,5,1
Archosargus probatocephalus,36030680101,1/12/2015,223,7,10,1.00,2.5,375,340,292,1087,2,-1,2,-1,IDSH15001,2,3
Archosargus probatocephalus,36030680101,1/20/2015,112,-1,10,1.00,2.5,445,404,357,1639,2,14,3,-1,IDSH15002,5,4
Archosargus probatocephalus,36030680101,2/10/2015,111,-1,10,1.00,2.0,346,309,261,705,2,4,2,-1,IDSH15003,3,4
Archosargus probatocephalus,36030680101,2/10/2015,112,-1,10,1.00,2.0,449,408,347,1656,2,17,2,-1,IDSH15004,5,1
Archosargus probatocephalus,36030680101,3/2/2015,223,3,10,1.00,4.0,385,354,302,1068,2,-1,3,-1,IDSH15005,2,4
Archosargus probatocephalus,36030680101,3/16/2015,111,-1,10,1.00,4.0,452,412,344,1575,1,55,-1,-1,IDSH15006,5,4
Archosargus probatocephalus,36030680101,3/16/2015,112,-1,10,1.00,2.0,335,312,255,599,2,-1,2,-1,IDSH15007,2,4
Archosargus probatocephalus,36030680101,3/20/2015,101,11,10,1.00,2.0,420,382,321,1201,1,46,3,-1,IDSH15008,3,4
Archosargus probatocephalus,36030680101,3/20/2015,101,11,10,1.00,2.0,501,454,392,2179,1,50,3,-1,IDSH15009,4,4
Archosargus probatocephalus,36030680101,3/20/2015,101,11,10,1.00,2.0,484,446,387,2335,2,135,3,-1,IDSH15010,4,4
Archosargus probatocephalus,36030680101,3/20/2015,101,11,10,1.00,2.5,398,362,313,1420,2,102,3,-1,-1,,
Archosargus probatocephalus,36030680101,3/20/2015,101,11,10,1.00,3.0,394,356,309,1193,1,26,3,-1,-1,,
Archosargus probatocephalus,36030680101,3/20/2015,101,11,10,1.00,3.5,411,376,274,1329,1,27,3,-1,-1,,
Archosargus probatocephalus,36030680101,3/20/2015,101,11,10,1.00,3.5,462,423,369,1838,1,47,3,-1,-1,,
Archosargus probatocephalus,36030680101,3/20/2015,101,11,10,1.00,4.0,414,373,316,1188,1,23,3,-1,IDSH15011,3,1
Archosargus probatocephalus,36030680101,4/1/2015,113,19,10,1.00,3.0,245,223,185,252,2,-1,2,-1,IDSH15012,2,1
Archosargus probatocephalus,36030680101,4/20/2015,303,4,10,1.00,4.0,320,288,251,551,2,-1,2,-1,IDSH15013,2,3
Archosargus probatocephalus,36030680101,9/10/2015,223,2,10,1.00,3.0,384,358,293,1114,1,-1,2,-1,IDSH15014,2,4
Archosargus probatocephalus,36030680101,10/16/2015,303,31,10,1.00,2.5,130,121,100,45,2,-1,5,-1,IDSH15015,-1,-1
Archosargus probatocephalus,36030680101,11/19/2015,101,24,10,1.00,4.0,311,286,237,474,2,-1,2,-1,IDSH15016,-1,-1
Archosargus probatocephalus,36030680101,12/8/2015,113,14,10,1.00,4.0,330,299,267,609,2,-1,5,-1,IDSH15017,2,4
