"","parameter","state_no_check","sex","mean","X50.","X2.5.","X97.5.","n_eff","Rhat","order"
"Betas_log_a[1]","Betas_log_a[1]","NA","NA",-10.3489963488939,-10.3460325645744,-10.5623524770715,-10.1430371005963,2910.73462055691,0.999983796341236,"1"
"Betas_log_a[2]","Betas_log_a[2]","NA","NA",0.120161298921436,0.120259406579817,0.0557504997436381,0.183050223652836,8000,1.00030033277223,"2"
"Betas_log_a[3]","Betas_log_a[3]","NA","NA",0.0162702704345243,0.0157055893873626,-0.0197209359182022,0.054259471388878,3249.38890202485,0.99984337322372,"3"
"Betas_log_b[1]","Betas_log_b[1]","NA","NA",1.08218902698172,1.08207851003037,1.07083496847018,1.09399093280566,4124.21462823028,0.999942881037112,"4"
"Betas_log_b[2]","Betas_log_b[2]","NA","NA",-0.00795262728268892,-0.00796931205132479,-0.0116627757853709,-0.00416854591638841,8000,1.0002984154033,"5"
"Betas_log_b[3]","Betas_log_b[3]","NA","NA",-0.00013064307910255,-0.00010509238142676,-0.00232302388616993,0.00192033457075437,5136.36312437869,0.999913081404449,"6"
"sigma_a","sigma_a","NA","NA",0.152328930811754,0.135872549635716,0.0669705668923967,0.336134114270074,2666.24523102246,1.0005453078597,"7"
"sigma_b","sigma_b","NA","NA",0.00864919846186019,0.0077203489399712,0.00388386056793116,0.0190818039958313,2761.78765991312,0.999903025971721,"8"
"sigma","sigma","NA","NA",0.0918127649369963,0.0918118859956226,0.0908867202341991,0.0927527151725465,8000,0.999902561756777,"9"
"log_a_re[1]","log_a_re[1]","NA","NA",0.0757779077789527,0.064823548167093,-0.157675661538582,0.365245608203357,4933.79544334188,0.9998951023528,"10"
"log_a_re[2]","log_a_re[2]","NA","NA",0.00158809774663866,0.000958368423762926,-0.239862298443647,0.246848834791331,4670.3747935764,1.00007260398806,"11"
"log_a_re[3]","log_a_re[3]","NA","NA",-0.0304181210787382,-0.0279466343001379,-0.277694020438311,0.196057253166887,6823.41643916223,0.999895125536975,"12"
"log_a_re[4]","log_a_re[4]","NA","NA",-0.03761798729733,-0.0353512010582655,-0.205905478808843,0.116955742557754,5208.23788932948,0.999929135178775,"13"
"log_a_re[5]","log_a_re[5]","NA","NA",-0.109749151515789,-0.108756253448305,-0.310064040436181,0.0922847838554399,2996.12705504919,1.00003463773159,"14"
"log_a_re[6]","log_a_re[6]","NA","NA",0.171794924716348,0.167535501290422,-0.0330596958301598,0.391056492732474,2957.80787540895,1.0000763531693,"15"
"log_a_re[7]","log_a_re[7]","NA","NA",0.0111843081966097,0.0102318861308825,-0.165083807859997,0.189695443216648,4787.39608005069,0.9998951693654,"16"
"log_a_re[8]","log_a_re[8]","NA","NA",-0.0816912574869932,-0.0778106499091147,-0.273597691345455,0.0820005429680874,4643.68398715639,1.000235590984,"17"
"log_b_re[1]","log_b_re[1]","NA","NA",-0.00181451509290767,-0.0013997660208565,-0.0173871022524381,0.0115972997003784,6638.43103367422,0.999763324088101,"18"
"log_b_re[2]","log_b_re[2]","NA","NA",-0.000386776974332709,-0.000534940870871367,-0.0138718994258684,0.0134030002623041,6652.78861618966,0.999960290188755,"19"
"log_b_re[3]","log_b_re[3]","NA","NA",0.000942635590521962,0.000719106131543055,-0.0126399003870294,0.0153863166541197,6623.97160317062,0.999998916703564,"20"
"log_b_re[4]","log_b_re[4]","NA","NA",0.00171579702647029,0.0015895205837038,-0.00714735675052178,0.0111496213218603,5538.09873373009,0.999815315695994,"21"
"log_b_re[5]","log_b_re[5]","NA","NA",0.00878339463895608,0.00867892101699593,-0.00198900533639978,0.020199819749231,4155.73907255728,1.00006825407651,"22"
"log_b_re[6]","log_b_re[6]","NA","NA",-0.00893351978616666,-0.00869743873427979,-0.0209985404727028,0.00225275012849915,4116.21372149364,0.999938749285988,"23"
"log_b_re[7]","log_b_re[7]","NA","NA",-0.0025161088347059,-0.00239409248662136,-0.0126553584576011,0.0072589018110604,5187.82951457759,0.999830389800913,"24"
"log_b_re[8]","log_b_re[8]","NA","NA",0.00199580921612743,0.0018525887035916,-0.00797290532590292,0.0126414975824358,5436.18367143517,0.999862249078075,"25"
"log_a_re[1]2","log_a_re[1]","1","f",4.12239646766981e-05,4.04022899730495e-05,3.06736121918385e-05,5.67792968583097e-05,4933.79544334188,0.9998951023528,"26"
"log_a_re[1]1","log_a_re[1]","1","m",4.65093921001735e-05,4.56297810680434e-05,3.43543764897298e-05,6.44692370116272e-05,4933.79544334188,0.9998951023528,"27"
"log_a_re[2]2","log_a_re[2]","2","f",3.80712195137801e-05,3.79170252719954e-05,3.13018437821012e-05,4.60337419639014e-05,4670.3747935764,1.00007260398806,"28"
"log_a_re[2]1","log_a_re[2]","2","m",4.29521906947582e-05,4.27284574671001e-05,3.49422980334664e-05,5.24283057006709e-05,4670.3747935764,1.00007260398806,"29"
"log_a_re[3]2","log_a_re[3]","3","f",3.57622584712901e-05,3.55179422672666e-05,2.72905425116378e-05,4.56609459297299e-05,6823.41643916223,0.999895125536975,"30"
"log_a_re[3]1","log_a_re[3]","3","m",4.03415317349814e-05,3.99750997611739e-05,3.04864833172241e-05,5.1697300316753e-05,6823.41643916223,0.999895125536975,"31"
"log_a_re[4]2","log_a_re[4]","4","f",3.38329084165167e-05,3.38121823702932e-05,3.07354631053682e-05,3.70759641390933e-05,5208.23788932948,0.999929135178775,"32"
"log_a_re[4]1","log_a_re[4]","4","m",3.81622665454612e-05,3.81274100475183e-05,3.43552420939974e-05,4.231332538843e-05,5208.23788932948,0.999929135178775,"33"
"log_a_re[5]2","log_a_re[5]","5","f",2.88829940529392e-05,2.8864645503692e-05,2.68166260379623e-05,3.10869220591056e-05,2996.12705504919,1.00003463773159,"34"
"log_a_re[5]1","log_a_re[5]","5","m",3.2575787659191e-05,3.25493794004655e-05,2.9979688838536e-05,3.52956833653345e-05,2996.12705504919,1.00003463773159,"35"
"log_a_re[6]2","log_a_re[6]","6","f",3.80420256752739e-05,3.80175444596468e-05,3.60503424430439e-05,4.01539949414445e-05,2957.80787540895,1.0000763531693,"36"
"log_a_re[6]1","log_a_re[6]","6","m",4.29017219565466e-05,4.28931375228929e-05,4.04746592898425e-05,4.54493859092577e-05,2957.80787540895,1.0000763531693,"37"
"log_a_re[7]2","log_a_re[7]","7","f",3.41628006993031e-05,3.40597448692206e-05,2.96537910184181e-05,3.92465322595877e-05,4787.39608005069,0.9998951693654,"38"
"log_a_re[7]1","log_a_re[7]","7","m",3.85290638545489e-05,3.83873434679591e-05,3.33307549367069e-05,4.44440822403966e-05,4787.39608005069,0.9998951693654,"39"
"log_a_re[8]2","log_a_re[8]","8","f",3.10915182406232e-05,3.10742631052207e-05,2.6852990099467e-05,3.54328480975496e-05,4643.68398715639,1.000235590984,"40"
"log_a_re[8]1","log_a_re[8]","8","m",3.50765144374898e-05,3.50418611192953e-05,2.99628198557009e-05,4.04470281649437e-05,4643.68398715639,1.000235590984,"41"
"log_b_re[1]2","log_b_re[1]","1","f",2.94200362485632,2.94327282302099,2.88865629758792,2.98748532807341,6638.43103367422,0.999763324088101,"42"
"log_b_re[1]1","log_b_re[1]","1","m",2.91870436436754,2.91979359176053,2.86424112664129,2.9652247447767,6638.43103367422,0.999763324088101,"43"
"log_b_re[2]2","log_b_re[2]","2","f",2.94609424214605,2.9459020673862,2.91330404866947,2.97821148864258,6652.78861618966,0.999960290188755,"44"
"log_b_re[2]1","log_b_re[2]","2","m",2.92276271312727,2.92276535676115,2.88883994120808,2.95626814121689,6652.78861618966,0.999960290188755,"45"
"log_b_re[3]2","log_b_re[3]","3","f",2.95086150027894,2.95068720495441,2.90812908071987,2.99575808297821,6623.97160317062,0.999998916703564,"46"
"log_b_re[3]1","log_b_re[3]","3","m",2.92749096452739,2.92744775843859,2.88351265478666,2.97372169517876,6623.97160317062,0.999998916703564,"47"
"log_b_re[4]2","log_b_re[4]","4","f",2.95404324071912,2.95397805700274,2.93843848738084,2.97015945023249,5538.09873373009,0.999815315695994,"48"
"log_b_re[4]1","log_b_re[4]","4","m",2.9306465041254,2.93062781400318,2.91308324293046,2.94808384810777,5538.09873373009,0.999815315695994,"49"
"log_b_re[5]2","log_b_re[5]","5","f",2.97703708735595,2.97700294708701,2.96401507838563,2.98994146895067,4155.73907255728,1.00006825407651,"50"
"log_b_re[5]1","log_b_re[5]","5","m",2.95345741250032,2.95345278815372,2.93926429171262,2.96790176865247,4155.73907255728,1.00006825407651,"51"
"log_b_re[6]2","log_b_re[6]","6","f",2.92488994936882,2.92491749735789,2.91545929726993,2.93416713414367,4116.21372149364,0.999938749285988,"52"
"log_b_re[6]1","log_b_re[6]","6","m",2.90172227564307,2.90165347937067,2.89173672186788,2.9117966386947,4116.21372149364,0.999938749285988,"53"
"log_b_re[7]2","log_b_re[7]","7","f",2.94254026127814,2.94262582311536,2.91860149415509,2.96602196265468,5187.82951457759,0.999830389800913,"54"
"log_b_re[7]1","log_b_re[7]","7","m",2.9192333145457,2.91944847432896,2.89488490461067,2.94312843207614,5187.82951457759,0.999830389800913,"55"
"log_b_re[8]2","log_b_re[8]","8","f",2.95587514635475,2.95552443808821,2.93302619099516,2.9805300500971,5436.18367143517,0.999862249078075,"56"
"log_b_re[8]1","log_b_re[8]","8","m",2.93246579697237,2.93204571600114,2.90770790942672,2.9588132373289,5436.18367143517,0.999862249078075,"57"
